ticker;date;open;low;high;close
RGBITR;2017-12-05;460.83;460.54;461.31;461.31
RGBITR;2017-12-06;461.23;460.61;461.54;461.44
RGBITR;2017-12-07;461.67;461.48;461.82;461.81
RGBITR;2017-12-08;461.87;461.87;462.12;462.03
RGBITR;2017-12-11;462.6;462.08;462.6;462.38
RGBITR;2017-12-12;462.43;462.24;462.72;462.64
RGBITR;2017-12-13;462.68;462.24;462.73;462.46
RGBITR;2017-12-14;462.58;462.53;462.86;462.7
RGBITR;2017-12-15;462.8;462.61;463.74;463.72
RGBITR;2017-12-18;463.98;463.76;464.46;464.19
RGBITR;2017-12-19;464.23;464.12;464.8;464.48
RGBITR;2017-12-20;464.56;464.55;465.18;465.15
RGBITR;2017-12-21;465.25;465.17;465.62;465.33
RGBITR;2017-12-22;465.63;465.34;465.86;465.38
RGBITR;2017-12-25;465.55;465.51;466.07;465.93
RGBITR;2017-12-26;466.03;465.84;466.17;465.93
RGBITR;2017-12-27;466.04;465.85;466.71;466.04
RGBITR;2017-12-28;466.12;465.84;466.72;466.24
RGBITR;2017-12-29;466.38;466.38;467.14;466.49
RGBITR;2018-01-03;467.14;467.08;467.85;467.85
RGBITR;2018-01-04;468.22;467.58;468.4;468.4
RGBITR;2018-01-05;468.57;468.55;468.74;468.64
RGBITR;2018-01-09;468.93;467.73;469.38;469.35
RGBITR;2018-01-10;469.48;469.48;470.53;470.29
RGBITR;2018-01-11;470.23;469.39;470.23;469.43
RGBITR;2018-01-12;469.48;469.46;470.03;470.03
RGBITR;2018-01-15;470.27;470.27;471.24;471.1
RGBITR;2018-01-16;471.22;470.86;471.22;470.86
RGBITR;2018-01-17;470.91;470.17;470.96;470.23
RGBITR;2018-01-18;470.4;470.28;470.73;470.66
RGBITR;2018-01-19;470.86;470.79;471.05;470.96
RGBITR;2018-01-22;471.46;470.94;471.46;471.34
RGBITR;2018-01-23;471.43;471.19;471.57;471.25
RGBITR;2018-01-24;471.32;471.3;472.17;471.84
RGBITR;2018-01-25;471.91;471.9;473.17;472.24
RGBITR;2018-01-26;472.35;471.66;472.35;471.68
RGBITR;2018-01-29;472.11;471.48;472.17;471.5
RGBITR;2018-01-30;471.5;471.38;473.12;473.12
RGBITR;2018-01-31;473.59;473.28;474.77;474.72
RGBITR;2018-02-01;474.92;474.92;475.48;475.21
RGBITR;2018-02-02;475.17;475.11;475.86;475.75
RGBITR;2018-02-05;476.65;475.54;476.91;476.19
RGBITR;2018-02-06;476.36;475.69;476.36;475.84
RGBITR;2018-02-07;475.96;475.96;477.72;477.72
RGBITR;2018-02-08;478.13;477.14;478.5;477.33
RGBITR;2018-02-09;477.44;477.13;477.82;477.82
RGBITR;2018-02-12;478.08;478.05;478.47;478.24
RGBITR;2018-02-13;478.36;478.26;478.64;478.26
RGBITR;2018-02-14;478.46;478.36;478.89;478.58
RGBITR;2018-02-15;478.64;478.64;479.25;479.19
RGBITR;2018-02-16;479.28;479.28;480.57;480.57
RGBITR;2018-02-19;480.77;480.73;481.23;481.05
RGBITR;2018-02-20;481.28;480.68;481.28;480.68
RGBITR;2018-02-21;480.78;480.64;481.33;481.33
RGBITR;2018-02-22;481.24;481;481.55;481.38
RGBITR;2018-02-26;481.81;481.79;483.52;483.28
RGBITR;2018-02-27;483.22;482.48;483.45;482.48
RGBITR;2018-02-28;482.59;482.19;483;482.41
RGBITR;2018-03-01;482.31;482.14;482.72;482.14
RGBITR;2018-03-02;482.17;481.75;482.32;481.75
RGBITR;2018-03-05;481.9;481.63;482.06;482.05
RGBITR;2018-03-06;482.14;482.03;482.64;482.64
RGBITR;2018-03-07;482.81;482.72;483.02;483.02
RGBITR;2018-03-09;483.21;483.08;483.78;483.69
RGBITR;2018-03-12;484.15;483.43;484.17;483.5
RGBITR;2018-03-13;483.68;483.56;483.98;483.56
RGBITR;2018-03-14;483.74;483.47;483.83;483.47
RGBITR;2018-03-15;483.79;482.73;483.79;482.74
RGBITR;2018-03-16;482.84;482.37;482.84;482.69
RGBITR;2018-03-19;483.08;482.85;483.27;483
RGBITR;2018-03-20;483.1;482.99;483.83;483.83
RGBITR;2018-03-21;483.97;483.87;484.92;484.91
